Key,Value,,Key,Metric
087d-689c-4694-9f61-7be86,0.24,,6920-ae3f-493f-acbb-88bc3,0
2675-9570-490b-8e6a-5cdea,0.15,,8f0e-f80b-4824-a0c6-46896,0
698f-2cca-4d88-90c6-2cffe,0.26,,7fa3-a1e8-4167-b95b-7a79c,0
88fd-92ad-4bb2-8de5-d3242,0.14,,376c-0d8e-4247-91ed-a8eb1,0
8ab6-ba65-4aa7-8522-fa4ed,0.24,,6d28-ddc3-4f7f-8b91-a4244,0
906c-ea38-472b-bb79-9a55c,0.04,,9ae9-8389-4649-974d-5c3db,0
a5a3-5f2b-4bd7-a8f3-c83dd,0.23,,6ddf-024f-4ea0-a797-2c738,0
a893-5dfb-4ac5-a10b-dce24,0.13,,6c02-b683-421f-a8b6-024f6,0
b102-02f7-4c25-8ee6-f8bb8,0.34,,662c-d17a-4919-8279-dad58,0
b121-3aad-4b9b-8740-66e9d,0.08,,09e6-3af8-4137-8b10-d2a6b,0
23cf-ef82-4410-8e90-111d2,0.35,,0553-cec5-4376-ac24-02b4b,0
45a5-a074-42f0-aed1-3ce84,0.39,,0401-82d4-428d-8718-8fd90,0
4d52-f9d7-4350-844b-73c24,0.31,,af6e-08d2-4a3a-a07d-fe52a,0
5208-bd04-428e-9c14-4c143,0.07,,9897-e72c-497e-8dc0-d11d8,0
74cc-5982-4f79-a9c2-2c3e5,0.25,,8ec0-36fd-4dd9-b480-d736b,0
83c5-ce0b-4f9c-b91c-b5018,0.23,,20fc-6d22-4744-95d8-12cd5,0
a39f-ff88-4fa5-8c7e-d37c8,0.14,,3844-87bb-4e8d-89e4-fe547,0
a94b-b137-47df-ad54-a23bb,0.24,,1322-36ef-406d-9e3c-5ce3a,0
b495-2bb1-45eb-bcb7-9c54a,0.14,,6a78-7230-47ee-a134-47c19,0
d857-3e8c-4dda-939a-51a2e,0.41,,314d-ef48-4be3-bf1d-b4969,0
f419-b33c-43e7-81dc-3f89d,0.07,,38b5-8847-4080-8d8a-16ac0,0
f45c-d5ea-4eac-84b7-63ef5,0.21,,7d34-e2ac-44b9-a606-c1c6b,0
0940-86bf-4c56-8640-f2178,0.36,,ced5-dc97-4f80-90dc-65ed3,0
0e8d-f493-4080-8e44-d6dc6,0.13,,8861-4f85-4926-9f60-10cf2,0
180e-4fc7-4bbf-a6bc-78975,0.01,,8ee3-53b8-4b35-aff5-bc178,0
1814-303f-4763-8df7-041e3,0.23,,b9c2-690c-4e75-9703-9e38d,0
